Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2023-10-19,"Super Natural",5.10,"w Rob and q. The crux pitch was stellar wide hands with calcite. Ripped my TC pros open on p1 chimney. Plenty of lose rock on every pitch.  Great simple rappel.
I had the song stuck in my head, “doesnt matter, put the phone away.”",https://www.mountainproject.com/route/112548854/super-natural,5,"Utah > Southeast Utah > Castle Valley > Parriot Mesa",3.0,-1,,,Trad,,600,3000
2023-10-18,"Static Cling",5.11-,"First route of trip. Felt prety easy for an 11.
Fun bomber gear and a pleasant lack of jugs getting around the roof.",https://www.mountainproject.com/route/105939455/static-cling,1,"Utah > Southeast Utah > Potash Road > Wall Street",3.5,-1,Lead,,Trad,,70,4700
2023-10-18,"Potash Bong Hit",5.9+,"Did in succession with Static Cling. Lots of ppl showed up. I thot the gear was good and encourage susan to lead it. But my first piece butterflied open as she was leading through my gear and she decided to TR. ",https://www.mountainproject.com/route/106104201/potash-bong-hit,1,"Utah > Southeast Utah > Potash Road > Wall Street",3.0,-1,Lead,,Trad,,70,2500
2023-10-15,"Sleepless in Boulder",5.11b,"a gem. several fun and similarly difficult cruxes with a technical finish. ",https://www.mountainproject.com/route/105756106/sleepless-in-boulder,1,"Colorado > Boulder > Boulder Canyon > Lower Dream Canyon > Plotinus Wall > Left Side",2.9,-1,Lead,,Sport,,,4900
2023-10-15,"Chore Boy",5.10b,"Felt pretty hard for 10b, but prolly because I went straight up through the inviting large move instead of going around to the right on crimps. ",https://www.mountainproject.com/route/105758940/chore-boy,1,"Colorado > Boulder > Boulder Canyon > Lower Dream Canyon > Plotinus Wall > Left Side",2.7,-1,Lead,,Sport,,105,2900
2023-10-15,"Snooze Button",5.10b,"climbing here with maddie trevor susan will and liz. Liz brought good cookies that were referred to as muffin tops.",https://www.mountainproject.com/route/105756937/snooze-button,1,"Colorado > Boulder > Boulder Canyon > Lower Dream Canyon > Plotinus Wall > Left Side",2.5,-1,Lead,,Sport,,80,2900
2023-10-14,"Long John Wall",5.8,"gear for the anchors was also not ideal. roof pull was pleasant. I dropped my golden chapstick. ",https://www.mountainproject.com/route/105748924/long-john-wall,4,"Colorado > Boulder > Eldorado Canyon State Park > The West Ridge > West Ridge - part B - Long John to Verschneidung",3.4,-1,Lead,,Trad,,,2100
2023-10-14,Ruper,5.8+,"w Anthony and Susan.
Gear anchor options were just okay. 
The descent/traverse between p3-p4 was classic Eldo sketch. Watched the lunar eclipse on p4. Didn&#39;t like the p5 belay spot, so I linked p5 into halfway up p6 past the last roof. ",https://www.mountainproject.com/route/105748774/ruper,6,"Colorado > Boulder > Eldorado Canyon State Park > Redgarden Wall > Redgarden - Tower One",3.6,-1,,,Trad,,240,2200
2023-10-01,"Dirty Sanchez",5.9+,,https://www.mountainproject.com/route/107478445/dirty-sanchez,2,"Pennsylvania > Southeastern Lowlands > Ralph Stover State Park (High Rocks) > i. Orangutan Buttress",2.9,-1,,,Sport,,110,2500
2023-10-01,Neanderthal,5.9,"And again",https://www.mountainproject.com/route/106135073/neanderthal,2,"Pennsylvania > Southeastern Lowlands > Ralph Stover State Park (High Rocks) > c. Neolithic Wall",2.9,-1,,,Trad,,105,2400
2023-09-16,"Where Eagles Dare",5.8+,,https://www.mountainproject.com/route/112888676/where-eagles-dare,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor South > g. Autumn Arch Sector",2.7,-1,,,Sport,,80,2200
2023-09-16,"Autumn Arch",5.10b,,https://www.mountainproject.com/route/107379077/autumn-arch,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor South > g. Autumn Arch Sector",3.5,-1,,,Sport,,85,2900
2023-09-16,"White Stripes",5.12a,,https://www.mountainproject.com/route/107590797/white-stripes,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor South > g. Autumn Arch Sector",3.1,-1,,,Sport,,45,6600
2023-09-16,"Eminent Domain",5.9,,https://www.mountainproject.com/route/107394697/eminent-domain,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor South > g. Autumn Arch Sector",2.4,-1,,,Sport,,80,2400
2023-09-16,Locomotion,5.10a,,https://www.mountainproject.com/route/107379180/locomotion,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor South > g. Autumn Arch Sector",3.0,-1,,,Sport,,,2600
2023-09-16,Wonderama,5.12a,,https://www.mountainproject.com/route/107375054/wonderama,1,"Pennsylvania > South Central PA > Safe Harbor > Safe Harbor South > g. Autumn Arch Sector",3.5,-1,,,Sport,,80,6600
2023-09-15,Updraft,5.5,"Pretty fun shtuff, fairly tight chimney. ",https://www.mountainproject.com/route/105813398/updraft,2,"New York > The Gunks > The Trapps > h. The Arrow Wall - CCK",2.6,-1,,,Trad,,230,1500
2023-09-15,"Modern Times",5.8+,"W eric&susan. Thought it would be perfect. Wasnt perfect. Should have placed more pieces for followers. Susan tweaked shoulder and eric suffered a fatality of heart.  I failed my followers and led them into the lions nest.",https://www.mountainproject.com/route/105799085/modern-times,2,"New York > The Gunks > The Trapps > h. The Arrow Wall - CCK",3.7,4,,,Trad,,250,2200
2023-09-15,"High Exposure",5.6,"Susan lead and crushed it.  I forgot to leave pieces for Eric when i followed, so i downclimbed and replaced pieces. Jessi (maxi) and gunner were cool climbing buddies",https://www.mountainproject.com/route/105798994/high-exposure,2,"New York > The Gunks > The Trapps > i. High E",3.8,3,Follow,,Trad,,250,1600
2023-09-15,"Three Pines",5.3,"They dared me to place every piece. I attempted (and succeeded) in placing every piece in an interesting way while still being bomber.
We met up with Lizzy and Dan on p2.",https://www.mountainproject.com/route/105799108/three-pines,3,"New York > The Gunks > The Trapps > e. The Mac Wall (Something Interesting)",3.1,-1,,,Trad,,160,1300
2023-08-25,"Number Eight",5.9,"I feel like the bolters actually cared about my safety while climbing this route.  Thx guys",https://www.mountainproject.com/route/108033987/number-eight,1,"Idaho > West Idaho > Black Cliffs > Tall Cliffs",2.0,-1,,,Sport,,60,2400
2023-08-22,"The High Lonesome",5.11a/b,"Started up at 530, didnt want to walk back in dark. So only did 2 pitches. Fun slab.",https://www.mountainproject.com/route/119173386/the-high-lonesome,2,"Idaho > Central Idaho > Lost River Range > Ramshorn Canyon > Ramshorn Canyon Main Wall",3.8,-1,,,"Sport, Alpine",,500,4800
2023-08-15,"Lower Exum Ridge",5.7,,https://www.mountainproject.com/route/105839153/lower-exum-ridge,6,"Wyoming > Grand Teton National Park > Grand Teton",3.9,-1,Lead,,"Trad, Alpine",,800,1800
2023-08-15,"Exum Ridge",5.5,,https://www.mountainproject.com/route/105933562/exum-ridge,6,"Wyoming > Grand Teton National Park > Grand Teton",3.7,-1,Lead,,"Trad, Alpine",,1700,1500
2023-08-14,"Chicken Lips",5.11b,"So it had been raining and still was. Tim Nora and I are ready to go get some coffee, and E is like, “I was hoping to try this hard slab.” Meanwhile, i knew that i had slipped on it when it was dry!
I foolishly tried to do it without the arete in the rain and ended up popping my LH off so hard that it cut my finger vertically. 
E then climbed and greatly enjoyed it, wet as it was.",https://www.mountainproject.com/route/105752275/chicken-lips,1,"Colorado > Boulder > Boulder Canyon > The Sport Park > The Clock Tower > Chicken Wall",2.2,-1,,,Sport,,,4900
2023-08-12,"Rubber Chicken",5.10c,"Didnt use the drilled pockets. I did use a heel hook though that E also used. 
Nora got shut down by the rain on the friction bit at the top",https://www.mountainproject.com/route/105752272/rubber-chicken,1,"Colorado > Boulder > Boulder Canyon > The Sport Park > The Clock Tower > Chicken Wall",2.4,-1,,,Sport,,,3200
2023-08-12,"Chicken Delight",5.10b,"Going straight up and avoiding either the arete or the jig rail makes for an interesting 5.11. My calf cramped while walking back to my sandals.",https://www.mountainproject.com/route/105752269/chicken-delight,1,"Colorado > Boulder > Boulder Canyon > The Sport Park > The Clock Tower > Chicken Wall",2.0,-1,,,Sport,,,2900
2023-08-12,"Chicken Hawk",5.9,"Got here with Nora and Tim and their baby Quinn. We brought some really nice doughnuts 
Same story for this route. Super necessary heel hook XP",https://www.mountainproject.com/route/105748876/chicken-hawk,1,"Colorado > Boulder > Boulder Canyon > The Sport Park > The Clock Tower > Chicken Wall",2.1,-1,,,"Sport, TR",,,2400
2023-08-10,Spooked,5.10a,"Interesting stalagmite thing and side pulls.
I assumed this was harder than 10a",https://www.mountainproject.com/route/106571875/spooked,1,"Colorado > Boulder > Boulder Canyon > Across from The Bihedral aka Cascade Crag",2.4,-1,Lead,,Sport,,90,2600
2023-08-10,"Rain Check",5.8+,"Fun warm up, E ran out a part after deciding to skip a bolt thinking it was for a different route.",https://www.mountainproject.com/route/106564938/rain-check,1,"Colorado > Boulder > Boulder Canyon > Across from The Bihedral aka Cascade Crag",2.5,-1,,,Sport,,90,2200
2023-08-10,"Lightning Strike",5.11a/b,"E had done this rpute before and was excited to do it again. The best part of this route is the arete.",https://www.mountainproject.com/route/106564948/lightning-strike,1,"Colorado > Boulder > Boulder Canyon > Across from The Bihedral aka Cascade Crag",2.4,-1,,,Sport,,50,4800
2023-08-02,"El Matador",5.10d,"I begged for E to take just 30 ft from the top... Might have been able to push to the send, but I might also have injured my butt muscles lol. This route definitely gave the experience that it was rumored to give. ",https://www.mountainproject.com/route/105714944/el-matador,5,"Wyoming > Devils Tower > West Face",3.9,4,Lead,,Trad,,250,3500
2023-08-01,"Bowling Alley- aka Durrance approach route","5.5 PG13","Honestly, I enjoyed this crack more than any of the pitches on Durrance.",https://www.mountainproject.com/route/106123012/bowling-alley-aka-durrance-approach-route,1,"Wyoming > Devils Tower > Durrance Approach",2.1,3,Lead,,Trad,,100,1500
2023-08-01,Durrance,5.7+,"Brought an 80 m rope, didn’t need it. 70 m would’ve been fine.
Didn’t bring anything larger than a #3, if you trad climb 5.10 there’s no need.
Started up at 6 AM, took long relaxing breaks at every bolt station and topped out at 10:30a.
Rapelling took one hour.
The jump traverse is sick, I recommend doing the jump. It feels competition style, but easy 
My favorite pitch was the bowling alley(the approach)
Group in front of us also had a van and were good company. the leader had a recovering ankle. ",https://www.mountainproject.com/route/105714812/durrance,6,"Wyoming > Devils Tower > Durrance Approach",3.4,4,Lead,,Trad,,500,1900
2023-07-31,"Bowling Alley- aka Durrance approach route","5.5 PG13","climbed the offwidth to the right of this. It was a little harder and less fun. 
Was just trying to get to Fritz Fantasy but the Lightning and Rain drove us back down. And the lack of daytime. ",https://www.mountainproject.com/route/106123012/bowling-alley-aka-durrance-approach-route,1,"Wyoming > Devils Tower > Durrance Approach",2.1,3,Lead,,Trad,,100,1500
2023-07-16,"Drunkard's Delight","5.8- PG13","w Blow and Slocum. I gotta stop doing this route after it rains. Such a sketchy start when the holds are wet. ",https://www.mountainproject.com/route/105897523/drunkards-delight,2,"New York > The Gunks > The Trapps > c. Frog's Head - the Arch",3.0,-1,Lead,,Trad,,180,2000
2023-07-15,Maria,5.6,"My life is sweet like cinnamon. Had a lot of rope drag. I gotta get me some double ropes. ",https://www.mountainproject.com/route/105799774/maria,3,"New York > The Gunks > The Trapps > c. Frog's Head - the Arch",3.2,-1,,,Trad,,220,1600
2023-07-15,"Belly Roll",5.4,"With BS and EB, good lead from Eric. B didn&#39;t have much of an issue with the offwidth. B decided he was having a good time on the belay ledge. ",https://www.mountainproject.com/route/106101970/belly-roll,2,"New York > The Gunks > The Trapps > b. Jackie and friends",2.5,-1,,,Trad,,120,1400
2023-06-18,(Ra),5.10c,"Great views and moves. The crux after the ledge is a big LH reach… unless youre E, who somehow got her RH to it.
Shawn used sidepull utterly off route, XP",https://www.mountainproject.com/route/117885904/ra,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Cotton Hill > Cotton Club",2.9,4,,,Sport,,80,3200
2023-06-18,"Solar Power",5.10b,"Hard heel-toe cam move for a 5.10 that can be easily avoided by stepping left. E found another baby copperhead at her feet. I flung it off the trail. It smacked into a tree and she wanted to go make sure it was okay.",https://www.mountainproject.com/route/117885949/solar-power,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Cotton Hill > Cotton Club",2.4,-1,,,Sport,,80,2900
2023-06-18,"Minnie the Moocher",5.10a/b,"Thought this would be a great slab. But i was the only one. We bailed on it in favor of Gov. Overreach. (Which was a good decision)",https://www.mountainproject.com/route/117886486/minnie-the-moocher,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Cotton Hill > Cotton Club",2.5,-1,,,Sport,,70,2800
2023-06-18,"Management Wore Masks",5.8,"A nice arete to finish the trip. Mimi fell deeply fond of a completely unnecessary heel hook (which wasnt even that good)",https://www.mountainproject.com/route/117081023/management-wore-masks,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Cotton Hill > Cotton Club",3.6,-1,,,Sport,,80,2100
2023-06-18,"Government Overreach",5.11a,"Had to get E on one last hard slab. This fit the bill perfectly. Shawn and Mimi were taking a rest i guess and just watched us climb before hoping on it themselves.
Difficult reaches after the undercling-crack",https://www.mountainproject.com/route/117711338/government-overreach,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Cotton Hill > Cotton Club",3.5,-1,,,Sport,,80,4600
2023-06-17,"The Tantrum",5.12d,"Filled with cruxes. 
C1 start. skip the side pulls. Reach from jug to jug
C2 taboo undercling. Keep a low right foot for the throw up to the RH “sloper”
C3 crack departure. Launch LH to knob, and then pump it again to jug!!",https://www.mountainproject.com/route/108242070/the-tantrum,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Kaymoor > 2. First Buttress",3.8,-1,Lead,Fell/Hung,Sport,,60,7500
2023-06-17,Springer,5.10b,"First route of day. Slab crux at top: 2 methods, one avoids the polished right foothold. The other involved a simple pullup on crimps. Took some pics of shawn on crux",https://www.mountainproject.com/route/105966922/springer,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Kaymoor > 6. Butcher's Branch",2.6,-1,,,Sport,5.10c/d,75,2900
2023-06-17,Boing,5.10b,"Right next to Springer. A great warmup for the 4 of us.",https://www.mountainproject.com/route/106519046/boing,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Kaymoor > 6. Butcher's Branch",2.5,-1,,,Sport,,70,2900
2023-06-17,"Bicycle Club",5.11d,"I threw past the slot 3 times before realizing it was a slot. Best beta was to get LH to slot. I went RH which then required a big move to the side pull",https://www.mountainproject.com/route/106419010/bicycle-club,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Kaymoor > 6. Butcher's Branch",3.2,-1,,,Sport,,70,5500
2023-06-17,"Sancho Belige",5.11c,"Crux at 4clip had me doing everything to avoid the crimps. Just use the crimps and skip the tricky beta you are thinking about.",https://www.mountainproject.com/route/106002342/sancho-belige,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Kaymoor > 6. Butcher's Branch",3.6,-1,,,Sport,,70,5200
2023-06-17,Ministry,5.12b,"Crux involves moving feet delicately below while holding your weight with you shoulders on opposed crimps. Shawn always finds the most efficient beta!",https://www.mountainproject.com/route/106014424/ministry,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Kaymoor > 6. Butcher's Branch",2.4,-1,,,Sport,,55,6900
2023-06-17,"Low Voltage",5.10b,"Probably underrated. Leaves you pumped even tho its a slab",https://www.mountainproject.com/route/105966917/low-voltage,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Kaymoor > 6. Butcher's Branch",2.7,4,,,Sport,,70,2900
2023-06-17,"The Green Piece",5.10b,"Forgettable. “Itd be a 5.9 if it wasnt tricky.”",https://www.mountainproject.com/route/105944381/the-green-piece,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Kaymoor > 6. Butcher's Branch",2.8,-1,,,Sport,,,2900
2023-06-16,"Glass Onion",5.10b,"Was supposed to be rest day. 
I wanted to get E on one more slab climb before the end of the day. 
Interesting high foot crux at 3rd bolt",https://www.mountainproject.com/route/106171345/glass-onion,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Endless Wall > H) Hellbound Area",2.4,-1,,,Sport,,70,2900
2023-06-16,Legacy,5.11a,"Long hike from cirque (not recommended)
Fun climb, but still not 4 stars",https://www.mountainproject.com/route/106282216/legacy,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Endless Wall > J) Snake Buttress",3.9,3,,,Sport,5.11a,90,4600
2023-06-16,Discombobulated,5.11b,"Im still surprised by the lack of bolt at the final roof. A backstep there is likely for an inexperienced climber and would result on a violent collision with the slab below.
Despite this, this climb is vhigh quality.",https://www.mountainproject.com/route/105948290/discombobulated,1,"West Virginia > The New River Gorge Region > New River Gorge Proper > Endless Wall > J) Snake Buttress",3.5,4,,,Sport,5.11b,90,4900
